Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team,Comp
Valentino Lazaro,at AUT,"DF,FW",28,26,21,1840,0,6,0,3,0,0.8,2.9,Torino,it Serie A
Darko Lazović,rs SRB,"DF,FW",34,23,17,1370,1,3,0,0,0,2.0,3.4,Hellas Verona,it Serie A
Manuel Lazzari,it ITA,DF,31,20,12,1066,0,1,0,1,0,0.1,0.9,Lazio,it Serie A
Julien Le Cardinal,fr FRA,DF,27,11,11,973,0,1,0,2,0,0.4,0.3,Brest,fr Ligue 1
Jérémy Le Douaron,fr FRA,FW,26,2,1,102,0,0,0,0,0,0.2,0.0,Brest,fr Ligue 1
Enzo Le Fée,fr FRA,MF,25,6,4,318,0,0,0,1,0,0.2,0.1,Roma,it Serie A
Robin Le Normand,es ESP,DF,28,16,14,1283,0,0,0,6,0,0.9,0.5,Atlético Madrid,es La Liga
Nicola Leali,it ITA,GK,32,21,21,1890,0,0,0,1,0,0.0,0.0,Genoa,it Serie A
Rafael Leão,pt POR,FW,25,25,20,1745,6,6,6,3,0,6.2,5.2,Milan,it Serie A
Benjamin Lecomte,fr FRA,GK,33,21,21,1890,0,0,0,0,0,0.0,0.1,Montpellier,fr Ligue 1
Pierre Lees-Melou,fr FRA,MF,31,11,8,727,1,1,1,2,0,0.9,1.0,Brest,fr Ligue 1
Jordan Lefort,fr FRA,DF,31,24,24,2160,0,1,0,1,0,0.3,1.1,Angers,fr Ligue 1
Diogo Leite,pt POR,DF,26,23,22,1943,0,1,0,3,0,0.9,0.8,Union Berlin,de Bundesliga
Maxim Leitsch,de GER,DF,26,14,6,674,1,0,1,2,0,1.2,0.2,Mainz 05,de Bundesliga
Florian Lejeune,fr FRA,DF,33,26,26,2335,0,2,0,4,0,2.5,1.1,Rayo Vallecano,es La Liga
Stefan Lekovic,rs SRB,DF,21,4,3,287,0,0,0,0,0,0.1,0.0,Monza,it Serie A
Iñigo Lekue,es ESP,DF,31,9,5,468,0,0,0,1,0,0.2,0.2,Athletic Club,es La Liga
Nunzio Lella,it ITA,MF,24,1,0,5,0,0,0,0,0,0.0,0.0,Venezia,it Serie A
Thomas Lemar,fr FRA,MF,29,1,0,7,0,0,0,0,0,0.0,0.0,Atlético Madrid,es La Liga
Félix Lemaréchal,fr FRA,"MF,FW",21,17,11,1031,1,1,1,2,0,1.4,1.5,Strasbourg,fr Ligue 1
Mario Lemina,ga GAB,"MF,DF",31,17,15,1364,1,3,1,4,0,1.4,1.1,Wolves,eng Premier League
Clément Lenglet,fr FRA,DF,29,15,15,1283,1,1,1,7,0,1.4,0.8,Atlético Madrid,es La Liga
Bernd Leno,de GER,GK,33,27,27,2430,0,1,0,3,0,0.0,0.1,Fulham,eng Premier League
Donovan Léon,gf GUF,GK,32,22,22,1980,0,2,0,2,0,0.0,0.4,Auxerre,fr Ligue 1
Giovanni Leoni,it ITA,DF,18,8,7,577,1,0,1,0,1,0.1,0.0,Parma,it Serie A
Esteban Lepaul,fr FRA,FW,24,18,8,780,5,0,5,0,0,3.4,0.6,Angers,fr Ligue 1
Johann Lepenant,fr FRA,MF,22,20,18,1583,2,1,2,3,0,1.2,0.9,Nantes,fr Ligue 1
Jefferson Lerma,co COL,MF,30,22,17,1451,0,0,0,5,0,0.9,1.4,Crystal Palace,eng Premier League
Louis Leroux,fr FRA,"MF,DF",19,8,2,261,1,0,1,1,0,0.8,0.5,Nantes,fr Ligue 1
Robert Lewandowski,pl POL,FW,36,25,24,2006,21,2,18,1,0,21.9,2.3,Barcelona,es La Liga
Jamie Leweling,de GER,"MF,FW",24,18,15,1143,1,1,1,3,0,0.7,2.7,Stuttgart,de Bundesliga
Rico Lewis,eng ENG,"DF,MF",20,21,18,1582,1,2,1,5,1,1.4,0.3,Manchester City,eng Premier League
Keane Lewis-Potter,eng ENG,"DF,FW",24,27,25,2189,1,2,1,4,0,2.4,2.0,Brentford,eng Premier League
Myles Lewis-Skelly,eng ENG,DF,18,12,8,643,1,0,1,2,2,0.0,0.1,Arsenal,eng Premier League
Ben Lhassine Kone,ci CIV,MF,24,4,0,51,0,0,0,1,0,0.0,0.0,Como,it Serie A
Mattia Liberali,it ITA,MF,17,1,1,61,0,0,0,0,0,0.1,0.0,Milan,it Serie A
Philipp Lienhart,at AUT,DF,28,22,21,1891,1,0,1,4,0,0.5,0.5,Freiburg,de Bundesliga
Matthijs de Ligt,nl NED,DF,25,25,21,1819,2,0,2,3,0,2.2,0.3,Manchester Utd,eng Premier League
Pedro Lima,br BRA,DF,18,3,1,70,0,0,0,0,0,0.1,0.1,Wolves,eng Premier League
Victor Lindelöf,se SWE,"DF,MF",30,6,0,64,0,0,0,1,0,0.0,0.0,Manchester Utd,eng Premier League
Jesper Lindstrøm,dk DEN,FW,25,23,14,1154,0,0,0,2,0,2.1,1.9,Everton,eng Premier League
Karol Linetty,pl POL,MF,30,22,15,1281,1,0,1,6,0,0.6,0.2,Torino,it Serie A
Samuel Lino,br BRA,"MF,DF",25,22,15,1102,3,2,3,3,0,5.4,2.2,Atlético Madrid,es La Liga
Pol Lirola,es ESP,DF,27,13,4,507,1,2,1,1,1,0.5,0.6,Marseille,fr Ligue 1
Dailon Livramento,cv CPV,"FW,MF",23,19,8,774,1,1,1,1,1,1.4,0.8,Hellas Verona,it Serie A
Valentino Livramento,eng ENG,DF,22,26,21,1850,0,0,0,1,0,0.1,1.1,Newcastle Utd,eng Premier League
Marin Ljubicic,hr CRO,"MF,FW",23,4,1,102,1,1,1,1,0,0.4,0.6,Union Berlin,de Bundesliga
Javier Llabrés,es ESP,FW,22,1,1,57,0,0,0,0,0,0.0,0.1,Mallorca,es La Liga
Diego Llorente,es ESP,DF,31,25,25,2214,1,0,1,3,0,1.3,0.3,Betis,es La Liga
Marcos Llorente,es ESP,"DF,MF",30,21,16,1433,2,3,2,0,1,0.6,3.4,Atlético Madrid,es La Liga
Gautier Lloris,fr FRA,DF,29,23,23,2069,2,1,2,4,0,1.2,0.9,Le Havre,fr Ligue 1
Giovani Lo Celso,ar ARG,"MF,FW",28,16,11,1035,7,1,5,3,0,4.1,3.5,Betis,es La Liga
Stanislav Lobotka,sk SVK,MF,30,23,22,1956,0,1,0,3,0,0.3,1.1,Napoli,it Serie A
Manuel Locatelli,it ITA,MF,27,25,23,1866,0,2,0,5,0,0.7,1.0,Juventus,it Serie A
Ruben Loftus-Cheek,eng ENG,MF,29,13,6,682,0,0,0,1,0,0.5,1.4,Milan,it Serie A
Elysée Logbo,fr FRA,FW,20,1,0,27,0,0,0,0,0,0.2,0.0,Le Havre,fr Ligue 1
Enzo Loiodice,fr FRA,MF,24,15,5,504,0,0,0,3,0,0.1,0.1,Las Palmas,es La Liga
Sean Longstaff,eng ENG,MF,27,20,8,743,0,0,0,2,0,0.6,0.2,Newcastle Utd,eng Premier League
Ademola Lookman,ng NGA,"FW,MF",27,21,19,1488,12,5,11,4,0,7.8,4.9,Atalanta,it Serie A
Anthony Lopes,pt POR,GK,34,9,9,810,0,0,0,1,0,0.0,0.0,Nantes,fr Ligue 1
David López,es ESP,DF,35,23,22,1958,1,0,1,3,0,0.8,0.1,Girona,es La Liga
Diego López,es ESP,"MF,FW",22,26,23,1853,4,4,4,2,0,3.9,3.8,Valencia,es La Liga
Fer López,,"FW,MF",,7,3,230,0,0,0,1,0,0.2,0.9,Celta Vigo,es La Liga
Fermin López,es ESP,"MF,FW",21,17,6,644,3,2,3,3,1,3.2,1.3,Barcelona,es La Liga
Javi López,es ESP,DF,22,20,14,1366,0,0,0,2,0,0.1,0.4,Real Sociedad,es La Liga
Pau López,es ESP,GK,30,1,0,45,0,0,0,0,0,0.0,0.0,Girona,es La Liga
Roberto López,es ESP,MF,24,12,3,393,0,1,0,0,0,0.5,0.9,Leganés,es La Liga
Unai López,es ESP,MF,29,20,16,1118,3,0,3,7,1,1.3,0.4,Rayo Vallecano,es La Liga
Iker Losada,es ESP,"MF,FW",23,5,2,198,1,0,1,1,0,0.7,0.3,Celta Vigo,es La Liga
Anthony Losilla,fr FRA,MF,38,18,13,1080,0,0,0,0,0,0.1,0.4,Bochum,de Bundesliga
Jordan Lotomba,ch SUI,"MF,DF",26,2,0,35,0,0,0,0,0,0.0,0.0,Nice,fr Ligue 1
Tom Louchet,fr FRA,"DF,MF",21,16,6,613,1,0,1,1,0,0.1,0.8,Nice,fr Ligue 1
Sandi Lovrić,si SVN,MF,26,26,24,1772,2,3,2,3,0,2.2,3.1,Udinese,it Serie A
Pol Lozano,es ESP,MF,25,19,17,1330,0,0,0,8,0,0.1,0.4,Espanyol,es La Liga
Lorenzo Lucca,it ITA,FW,24,26,21,1799,10,0,9,8,0,5.6,0.6,Udinese,it Serie A
Jhon Lucumí,co COL,DF,26,22,20,1789,0,1,0,5,1,0.5,0.3,Bologna,it Serie A
Yannik Lührs,de GER,DF,21,3,1,127,0,0,0,0,0,0.0,0.0,Dortmund,de Bundesliga
José Luis Gayà,es ESP,DF,29,13,12,966,0,1,0,2,0,0.5,1.6,Valencia,es La Liga
José Luis Palomino,ar ARG,DF,35,9,3,386,1,0,1,1,0,0.5,0.0,Cagliari,it Serie A
Douglas Luiz,br BRA,MF,26,15,3,488,0,0,0,2,0,0.6,0.8,Juventus,it Serie A
Romelu Lukaku,be BEL,FW,31,25,24,1919,9,7,6,1,0,9.5,2.2,Napoli,it Serie A
Castello Lukeba,fr FRA,DF,22,14,12,1000,0,0,0,1,0,0.1,0.2,RB Leipzig,de Bundesliga
Dodi Lukebakio,be BEL,FW,27,26,25,2162,11,1,10,2,0,7.6,2.3,Sevilla,es La Liga
Saša Lukić,rs SRB,MF,28,22,21,1738,0,2,0,10,0,0.8,2.6,Fulham,eng Premier League
Milos Lukovic,rs SRB,"FW,MF",19,2,0,12,0,0,0,0,0,0.0,0.0,Strasbourg,fr Ligue 1
Joe Lumley,eng ENG,GK,30,3,3,270,0,0,0,0,0,0.0,0.0,Southampton,eng Premier League
Daniel Luna,co COL,MF,21,2,0,20,0,0,0,0,0,0.0,0.0,Mallorca,es La Liga
Andriy Lunin,ua UKR,GK,26,3,3,270,0,1,0,0,0,0.0,0.9,Real Madrid,es La Liga
Massimo Luongo,au AUS,MF,32,7,2,181,0,0,0,0,0,0.0,0.0,Ipswich Town,eng Premier League
Sebastiano Luperto,it ITA,DF,28,28,28,2520,1,3,1,2,0,2.0,1.2,Cagliari,it Serie A
Zito Luvumbo,ao ANG,"FW,MF",22,18,13,1105,1,1,1,2,0,1.2,1.6,Cagliari,it Serie A
Charalambos Lykogiannis,gr GRE,DF,31,14,10,860,0,4,0,2,0,0.1,1.5,Bologna,it Serie A
Senne Lynen,be BEL,MF,26,22,22,1892,0,0,0,6,0,0.7,0.5,Werder Bremen,de Bundesliga
Mathias Løvik,no NOR,"DF,FW",21,4,0,83,0,0,0,0,0,0.1,0.1,Parma,it Serie A
Othmane Maamma,ma MAR,"FW,MF",19,7,0,147,1,1,1,1,0,0.5,0.2,Montpellier,fr Ligue 1
Ian Maatsen,nl NED,DF,22,22,4,617,0,1,0,2,0,0.2,1.6,Aston Villa,eng Premier League
Alexis Mac Allister,ar ARG,MF,26,27,25,2066,3,3,3,6,0,2.3,3.6,Liverpool,eng Premier League
Deiver Machado,co COL,DF,31,19,12,1183,1,2,1,5,2,1.8,1.2,Lens,fr Ligue 1
Shuto Machino,jp JPN,"FW,MF",25,22,14,1232,7,1,6,1,0,3.4,1.6,Holstein Kiel,de Bundesliga
Darwin Machís,ve VEN,"FW,MF",32,10,5,407,0,0,0,0,0,0.8,0.2,Valladolid,es La Liga
Yvann Macon,fr FRA,DF,26,7,6,431,0,0,0,2,0,0.2,0.2,Saint-Étienne,fr Ligue 1
James Maddison,eng ENG,MF,28,25,17,1471,9,5,9,5,0,5.7,3.1,Tottenham,eng Premier League
Eros Maddy,nl NED,DF,24,1,0,8,0,0,0,0,0,0.0,0.0,Auxerre,fr Ligue 1
Noni Madueke,eng ENG,FW,22,23,19,1453,7,3,7,3,0,7.6,3.6,Chelsea,eng Premier League
Pablo Maffeo,es ESP,DF,27,20,19,1583,0,1,0,3,0,0.3,3.5,Mallorca,es La Liga
Gabriel Magalhães,br BRA,DF,27,25,25,2168,3,1,3,3,0,2.6,0.8,Arsenal,eng Premier League
Soungoutou Magassa,fr FRA,MF,21,16,10,883,0,1,0,5,0,0.5,0.8,Monaco,fr Ligue 1
Edmond-Paris Maghoma,eng ENG,"MF,FW",23,7,0,111,0,0,0,0,0,0.1,0.1,Brentford,eng Premier League
Giangiacomo Magnani,it ITA,DF,29,17,11,1065,1,0,1,2,0,1.1,0.0,Hellas Verona,it Serie A
Hugo Magnetti,fr FRA,MF,26,23,19,1681,1,0,1,3,0,0.6,0.4,Brest,fr Ligue 1
Frank Magri,cm CMR,FW,25,23,9,849,3,0,3,3,1,3.0,0.4,Toulouse,fr Ligue 1
Harry Maguire,eng ENG,DF,32,20,15,1358,1,0,1,7,0,0.8,0.3,Manchester Utd,eng Premier League
Jon Magunazelaia,es ESP,MF,24,2,0,7,0,0,0,0,0,0.0,0.0,Real Sociedad,es La Liga
Arne Maier,de GER,MF,26,22,7,798,0,0,0,0,0,1.1,1.4,Augsburg,de Bundesliga
Mike Maignan,fr FRA,GK,29,27,27,2430,0,0,0,1,0,0.0,0.7,Milan,it Serie A
Patrick Mainka,de GER,DF,30,24,24,2160,1,0,1,3,0,1.6,0.3,Heidenheim,de Bundesliga
Kobbie Mainoo,eng ENG,MF,19,18,15,1285,0,0,0,5,0,0.5,1.5,Manchester Utd,eng Premier League
Ainsley Maitland-Niles,eng ENG,"DF,MF",27,22,13,1260,1,3,1,0,0,1.4,2.4,Lyon,fr Ligue 1
Radosław Majecki,pl POL,GK,25,15,15,1350,0,0,0,1,0,0.0,0.0,Monaco,fr Ligue 1
Lovro Majer,hr CRO,MF,27,4,2,145,2,0,1,1,0,1.1,0.0,Wolfsburg,de Bundesliga
Jordy Makengo,fr FRA,DF,23,12,1,207,0,0,0,1,0,0.0,0.1,Freiburg,de Bundesliga
Antoine Makoumbou,cg CGO,MF,26,24,21,1658,0,1,0,3,1,0.3,0.4,Cagliari,it Serie A
Nikola Maksimović,rs SRB,DF,33,7,7,581,0,0,0,2,0,0.0,0.0,Montpellier,fr Ligue 1
Tyrell Malacia,nl NED,DF,25,3,2,100,0,0,0,1,0,0.0,0.0,Manchester Utd,eng Premier League
Jarzinho Malanga,de GER,DF,18,1,0,2,0,0,0,0,0,0.0,0.0,Stuttgart,de Bundesliga
Julián Malatini,ar ARG,DF,23,10,5,454,1,1,1,1,0,0.2,0.5,Werder Bremen,de Bundesliga
Daniel Maldini,it ITA,"MF,FW",23,20,16,1306,3,0,3,5,0,4.8,0.9,Monza,it Serie A
Youssef Maleh,ma MAR,MF,26,22,17,1510,0,1,0,5,1,0.9,0.9,Empoli,it Serie A
Donyell Malen,nl NED,FW,26,5,1,169,0,0,0,0,0,0.6,0.0,Aston Villa,eng Premier League
Ruslan Malinovskyi,ua UKR,"MF,FW",31,6,2,240,0,0,0,1,0,0.1,0.5,Genoa,it Serie A
Lennard Maloney,us USA,MF,25,11,10,760,0,0,0,1,0,0.3,0.0,Heidenheim,de Bundesliga
Aaron Malouda,fr FRA,FW,19,1,0,2,0,0,0,0,0,0.0,0.0,Lille,fr Ligue 1
Giorgi Mamardashvili,ge GEO,GK,24,22,22,1980,0,0,0,1,0,0.0,0.1,Valencia,es La Liga
Dennis Man,ro ROU,"FW,MF",26,25,20,1736,4,4,4,0,0,4.1,3.8,Parma,it Serie A
Hianga Mananga Mbock,fr FRA,MF,25,1,0,21,0,0,0,0,0,0.0,0.0,Brest,fr Ligue 1
Gianluca Mancini,it ITA,DF,28,27,26,2243,1,0,1,5,0,1.3,0.8,Roma,it Serie A
Steve Mandanda,fr FRA,GK,39,17,17,1485,0,0,0,0,0,0.0,0.1,Rennes,fr Ligue 1
Christos Mandas,gr GRE,GK,23,1,1,90,0,0,0,0,0,0.0,0.0,Lazio,it Serie A
Reinildo Mandava,mz MOZ,DF,31,17,9,841,0,0,0,3,0,0.1,0.1,Atlético Madrid,es La Liga
Aïssa Mandi,dz ALG,DF,33,17,15,1247,0,0,0,2,0,0.3,0.2,Lille,fr Ligue 1
Rolando Mandragora,it ITA,MF,27,19,12,1065,1,2,0,5,0,1.3,1.6,Fiorentina,it Serie A
Orel Mangala,be BEL,MF,26,19,14,1261,1,0,1,2,0,1.1,0.6,Everton,eng Premier League
Ryan Manning,ie IRL,DF,28,15,10,799,0,0,0,2,0,0.3,2.0,Southampton,eng Premier League
Javier Manquillo,es ESP,DF,30,10,7,515,0,0,0,1,0,0.0,0.0,Celta Vigo,es La Liga
Johan Manzambi,ch SUI,"MF,FW",19,4,0,34,0,0,0,0,0,0.0,0.0,Freiburg,de Bundesliga
Alberto Manzoni,it ITA,MF,19,1,0,6,0,0,0,0,0,0.1,0.0,Atalanta,it Serie A
Sekou Mara,fr FRA,"FW,MF",22,19,6,637,1,1,1,2,0,1.1,1.0,Strasbourg,fr Ligue 1
Alessandro Marcandalli,it ITA,DF,22,2,1,46,0,0,0,0,0,0.0,0.0,Genoa,it Serie A
Marcão,br BRA,DF,28,11,5,462,0,0,0,6,1,0.0,0.0,Sevilla,es La Liga
Solly March,eng ENG,"MF,DF",30,3,0,26,0,0,0,1,0,0.1,0.0,Brighton,eng Premier League
Filip Marchwiński,pl POL,MF,23,1,0,15,0,0,0,0,0,0.0,0.0,Lecce,it Serie A
Óscar de Marcos,es ESP,DF,35,21,13,1234,0,4,0,0,0,0.8,1.8,Athletic Club,es La Liga
Alberto Marí,es ESP,FW,23,1,0,7,0,0,0,0,0,0.0,0.0,Valencia,es La Liga
Pablo Marí,es ESP,DF,31,19,19,1628,0,0,0,4,1,0.2,0.1,Monza,it Serie A
José María Giménez,uy URU,DF,30,20,15,1474,0,1,0,4,0,0.3,0.2,Atlético Madrid,es La Liga
Luca Marianucci,it ITA,DF,20,9,3,304,0,0,0,0,1,0.3,0.0,Empoli,it Serie A
Mirko Marić,hr CRO,"FW,MF",29,8,1,106,0,0,0,0,0,0.2,0.0,Monza,it Serie A
Arkaitz Mariezkurrena,es ESP,"MF,FW",19,1,0,45,0,0,0,0,0,0.0,0.0,Real Sociedad,es La Liga
Rafa Marín,es ESP,DF,22,1,0,6,0,0,0,0,0,0.0,0.0,Napoli,it Serie A
Pablo Marín,es ESP,MF,21,11,3,377,0,1,0,0,0,0.1,0.4,Real Sociedad,es La Liga
Răzvan Marin,ro ROU,MF,28,25,11,1124,3,2,1,4,0,2.2,3.0,Cagliari,it Serie A
Guillermo Maripán,cl CHI,DF,30,17,16,1350,1,0,1,0,1,0.7,0.4,Torino,it Serie A
Mika Màrmol,es ESP,DF,22,20,18,1544,0,1,0,4,0,0.4,1.3,Las Palmas,es La Liga
Omar Marmoush,eg EGY,"MF,FW",26,5,5,368,3,0,3,0,0,1.0,0.6,Manchester City,eng Premier League
Mario Maroto,es ESP,MF,21,1,0,19,0,1,0,0,0,0.0,0.1,Valladolid,es La Liga
Marquinhos,br BRA,DF,30,18,15,1404,1,0,1,3,0,0.8,0.7,Paris S-G,fr Ligue 1
Aarón Martín,es ESP,DF,27,27,27,2356,0,4,0,4,0,0.7,4.6,Genoa,it Serie A
Carlos Martín,es ESP,"FW,MF",22,17,11,927,2,2,2,2,0,2.0,2.5,Alavés,es La Liga
Gerard Martín,es ESP,DF,23,16,5,522,1,1,1,2,0,0.2,0.5,Barcelona,es La Liga
Iván Martín,es ESP,MF,26,22,18,1538,1,1,1,1,0,0.9,1.8,Girona,es La Liga
Jon Martin,es ESP,DF,19,6,0,297,0,1,0,1,0,0.4,0.1,Real Sociedad,es La Liga
Jonas Martin,fr FRA,MF,34,13,5,459,1,0,1,2,0,0.4,0.3,Brest,fr Ligue 1
Mario Martín,es ESP,MF,21,22,15,1357,0,1,0,7,2,1.1,1.4,Valladolid,es La Liga
Gabriel Martinelli,br BRA,"FW,MF",23,22,16,1458,6,3,6,1,0,4.1,2.9,Arsenal,eng Premier League
Arnau Martinez,es ESP,"DF,MF",21,22,20,1788,2,2,2,2,0,1.1,1.8,Girona,es La Liga
Emiliano Martínez,ar ARG,GK,32,28,28,2430,0,0,0,2,0,0.0,0.0,Aston Villa,eng Premier League
Iñigo Martínez,es ESP,DF,33,20,20,1780,0,2,0,3,0,0.3,2.2,Barcelona,es La Liga
Javi Martínez,es ESP,MF,25,1,0,6,0,0,0,0,0,0.0,0.0,Osasuna,es La Liga
Josep Martinez,es ESP,GK,26,2,2,180,0,0,0,0,0,0.0,0.1,Inter,it Serie A
Lautaro Martínez,ar ARG,FW,27,25,25,2078,10,3,10,0,0,10.5,2.4,Inter,it Serie A
Lisandro Martínez,ar ARG,DF,27,20,20,1751,2,1,2,7,0,1.3,1.1,Manchester Utd,eng Premier League
Lucas Martínez Quarta,ar ARG,DF,28,8,4,351,1,0,1,1,0,0.7,0.0,Fiorentina,it Serie A
Ramón Martínez,es ESP,DF,22,1,0,6,0,0,0,0,0,0.0,0.0,Sevilla,es La Liga
Toni Martínez,es ESP,FW,27,21,7,777,3,0,3,0,0,2.1,0.6,Alavés,es La Liga
Kevin Martins,it ITA,"MF,DF",20,9,1,183,0,1,0,1,0,0.0,0.4,Monza,it Serie A
Javi Martón,es ESP,"FW,MF",25,3,0,53,0,0,0,1,0,0.0,0.0,Athletic Club,es La Liga
Adam Marušić,me MNE,DF,32,25,16,1553,3,0,3,1,0,1.5,0.4,Lazio,it Serie A
Marvin,es ESP,"DF,FW",24,11,6,549,0,0,0,3,0,0.1,0.7,Las Palmas,es La Liga
Omar Mascarell,gq EQG,MF,32,22,15,1413,0,0,0,4,1,0.2,0.1,Mallorca,es La Liga
Adam Masina,ma MAR,DF,31,20,15,1452,1,2,1,5,0,0.2,0.3,Torino,it Serie A
Patrizio Masini,it ITA,MF,24,16,6,685,1,0,1,2,0,0.4,0.1,Genoa,it Serie A
Giorgos Masouras,gr GRE,"FW,MF",31,4,4,339,2,0,2,0,0,2.5,0.6,Bochum,de Bundesliga
Erhan Mašović,rs SRB,DF,26,13,10,849,1,1,1,1,0,0.6,0.9,Bochum,de Bundesliga
Han-Noah Massengo,fr FRA,MF,23,8,5,462,0,0,0,1,0,0.3,0.0,Auxerre,fr Ligue 1
Clinton Mata,ao ANG,DF,32,21,20,1807,0,3,0,4,0,0.2,1.2,Lyon,fr Ligue 1
Jaime Mata,es ESP,FW,36,22,3,469,0,0,0,5,0,1.9,0.1,Las Palmas,es La Liga
Igor Matanovic,hr CRO,FW,21,15,2,303,1,0,1,0,0,1.1,0.0,Eint Frankfurt,de Bundesliga
Pape Matar Sarr,sn SEN,MF,22,26,15,1306,2,2,2,5,0,3.0,1.4,Tottenham,eng Premier League
Eliot Matazo,be BEL,MF,23,3,1,68,0,0,0,0,0,0.0,0.1,Monaco,fr Ligue 1
Jean-Philippe Mateta,fr FRA,FW,27,27,25,2132,12,2,10,2,0,11.3,3.0,Crystal Palace,eng Premier League
Nemanja Matić,rs SRB,MF,36,20,18,1500,0,1,0,0,0,0.0,1.1,Lyon,fr Ligue 1
Chrislain Matsima,fr FRA,DF,22,20,18,1651,1,0,1,4,0,1.4,0.1,Augsburg,de Bundesliga
Jean Mattéo Bahoya,fr FRA,MF,19,15,2,338,0,2,0,2,0,0.2,0.8,Eint Frankfurt,de Bundesliga
Alan Matturro,uy URU,DF,20,10,8,767,0,0,0,2,0,0.1,0.2,Genoa,it Serie A
Azor Matusiwa,nl NED,MF,26,19,17,1480,0,0,0,2,0,0.2,0.8,Rennes,fr Ligue 1
Neal Maupay,fr FRA,FW,28,17,12,901,4,4,4,3,1,3.5,2.2,Marseille,fr Ligue 1
Maurides,br BRA,FW,30,1,0,2,0,0,0,0,0,0.0,0.0,St. Pauli,de Bundesliga
Stephy Mavididi,eng ENG,FW,26,25,14,1381,3,1,3,2,0,1.6,2.4,Leicester City,eng Premier League
Konstantinos Mavropanos,gr GRE,DF,27,23,16,1546,0,0,0,4,1,1.2,0.5,West Ham,eng Premier League
Christian Mawissa,fr FRA,DF,19,15,12,1037,0,0,0,2,0,0.1,0.0,Monaco,fr Ligue 1
Keke Maximilian Topp,de GER,"FW,MF",20,12,1,213,1,1,1,1,0,0.7,1.3,Werder Bremen,de Bundesliga
Borja Mayoral,es ESP,FW,27,12,2,486,4,0,3,0,0,2.8,0.3,Getafe,es La Liga
Senny Mayulu,fr FRA,MF,18,12,4,382,1,0,1,1,0,2.1,0.7,Paris S-G,fr Ligue 1
Noussair Mazraoui,ma MAR,DF,27,27,24,2038,0,1,0,2,0,0.5,0.8,Manchester Utd,eng Premier League
Luca Mazzitelli,it ITA,MF,29,11,3,335,1,1,1,1,0,0.2,0.6,Como,it Serie A
Pasquale Mazzocchi,it ITA,"DF,FW",29,16,6,611,0,0,0,2,0,0.1,0.4,Napoli,it Serie A
Samuel Mbangula,be BEL,FW,21,19,7,661,3,3,3,1,0,0.5,1.1,Juventus,it Serie A
Ethan Mbappé,fr FRA,"MF,FW",18,7,1,199,0,0,0,2,0,1.0,1.5,Lille,fr Ligue 1
Kylian Mbappé,fr FRA,FW,26,24,24,2072,17,3,12,3,0,16.7,4.8,Real Madrid,es La Liga
Ibrahim Mbaye,fr FRA,"FW,MF",17,5,1,87,0,0,0,0,0,0.3,0.0,Paris S-G,fr Ligue 1
Bryan Mbeumo,cm CMR,FW,25,27,27,2424,15,4,11,2,0,8.8,6.5,Brentford,eng Premier League
James Mcatee,eng ENG,"MF,FW",22,10,0,130,2,0,2,0,0,1.3,0.0,Manchester City,eng Premier League
Kasey McAteer,ie IRL,"FW,MF",23,11,4,386,0,1,0,1,0,0.6,0.4,Leicester City,eng Premier League
Oliver McBurnie,sct SCO,FW,28,22,11,1040,0,5,0,0,0,1.7,2.2,Las Palmas,es La Liga
Alex McCarthy,eng ENG,GK,35,5,5,450,0,0,0,0,0,0.0,0.0,Southampton,eng Premier League
John McGinn,sct SCO,"MF,FW",30,24,21,1717,0,3,0,5,0,2.0,2.7,Aston Villa,eng Premier League
Scott McKenna,sct SCO,DF,28,21,20,1746,0,0,0,5,1,0.8,0.2,Las Palmas,es La Liga
Weston McKennie,us USA,"MF,DF",26,21,17,1463,2,3,2,2,0,1.5,2.2,Juventus,it Serie A
Mark McKenzie,us USA,DF,26,23,22,1930,1,0,1,1,0,1.0,0.4,Toulouse,fr Ligue 1
Dwight McNeil,eng ENG,"MF,FW",25,13,13,1140,3,3,3,1,0,0.9,3.5,Everton,eng Premier League
Scott McTominay,sct SCO,MF,28,2,0,19,0,0,0,0,0,0.1,0.0,Manchester Utd,eng Premier League
Jakov Medić,hr CRO,DF,26,17,12,1159,0,0,0,1,0,0.5,0.1,Bochum,de Bundesliga
Facundo Medina,ar ARG,DF,25,21,21,1824,0,1,0,9,1,1.3,1.2,Lens,fr Ligue 1
Ben Mee,eng ENG,DF,35,6,2,177,0,0,0,2,0,0.0,0.0,Brentford,eng Premier League
Jayden Meghoma,eng ENG,DF,18,1,0,5,0,0,0,0,0,0.0,0.0,Brentford,eng Premier League
Henrik Meister,dk DEN,FW,21,4,0,63,1,0,1,0,0,0.1,0.3,Rennes,fr Ligue 1
Bamo Meïté,ci CIV,DF,23,4,4,248,0,0,0,1,0,0.0,0.0,Montpellier,fr Ligue 1
Mohamed Meité,fr FRA,"FW,DF",17,4,0,45,0,0,0,0,0,0.4,0.0,Rennes,fr Ligue 1
Mateo Mejía,es ESP,FW,21,1,0,11,0,0,0,0,0,0.0,0.0,Sevilla,es La Liga
Farid El Melali,dz ALG,FW,27,22,18,1500,2,2,2,1,0,2.4,2.8,Angers,fr Ligue 1
