Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team,Comp
Nadiem Amiri,de GER,MF,28,22,22,1756,6,3,4,6,2,4.1,5.0,Mainz 05,de Bundesliga
Samuel Amo-Ameyaw,eng ENG,"FW,DF",18,2,0,28,0,0,0,1,0,0.0,0.1,Southampton,eng Premier League
Mathis Amougou,fr FRA,MF,19,1,0,8,0,0,0,0,0,0.0,0.0,Chelsea,eng Premier League
Mohamed Amoura,dz ALG,FW,24,22,21,1796,9,8,8,3,0,6.1,3.2,Wolfsburg,de Bundesliga
Sofyan Amrabat,ma MAR,MF,28,2,2,180,0,0,0,0,0,0.0,0.1,Fiorentina,it Serie A
Joachim Andersen,dk DEN,DF,28,1,1,90,0,0,0,1,0,0.0,0.0,Crystal Palace,eng Premier League
Elliot Anderson,eng ENG,MF,22,26,22,1802,1,5,1,6,0,1.3,2.9,Nott'ham Forest,eng Premier League
André,br BRA,MF,23,22,20,1568,0,0,0,3,0,0.1,0.6,Wolves,eng Premier League
Benjamin André,fr FRA,MF,34,21,21,1882,0,1,0,10,0,1.2,1.1,Lille,fr Ligue 1
Marcos André,br BRA,FW,28,18,13,1092,1,2,1,5,0,2.2,0.8,Valladolid,es La Liga
Robert Andrich,de GER,MF,30,17,15,1240,2,1,2,6,0,1.2,0.2,Leverkusen,de Bundesliga
Angeliño,es ESP,DF,28,27,26,2251,2,1,2,1,0,0.5,2.2,Roma,it Serie A
Lorenzo Anghelè,it ITA,FW,20,1,0,6,0,0,0,0,0,0.0,0.0,Juventus,it Serie A
Faustino Anjorin,eng ENG,MF,23,17,13,983,0,3,0,2,0,0.8,1.6,Empoli,it Serie A
Waldemar Anton,de GER,DF,28,16,13,1139,0,2,0,3,0,0.8,0.6,Dortmund,de Bundesliga
Leandro Antonetti,pr PUR,FW,22,1,0,11,0,0,0,0,0,0.0,0.0,Sevilla,es La Liga
Michail Antonio,jm JAM,FW,34,14,11,836,1,1,1,1,0,2.2,1.6,West Ham,eng Premier League
Antoniu,es ESP,"MF,FW",22,14,6,484,0,1,0,3,0,0.6,1.0,Espanyol,es La Liga
Antony,br BRA,"DF,MF",25,8,0,141,0,0,0,0,0,1.0,0.1,Manchester Utd,eng Premier League
Anuar,ma MAR,"FW,MF",30,16,14,1192,2,0,2,5,0,1.4,0.5,Valladolid,es La Liga
Dennis Appiah,fr FRA,DF,32,21,16,1587,0,1,0,1,0,0.1,2.0,Saint-Étienne,fr Ligue 1
Aritz Arambarri,es ESP,DF,27,2,2,177,0,0,0,0,0,0.0,0.0,Leganés,es La Liga
Mauro Arambarri,uy URU,MF,29,24,20,1717,6,0,3,8,0,5.0,0.3,Getafe,es La Liga
Jon Aramburu,ve VEN,DF,22,23,21,1768,0,1,0,7,0,0.4,0.9,Real Sociedad,es La Liga
Julian Araujo,mx MEX,DF,23,8,5,355,0,0,0,1,0,0.0,0.0,Bournemouth,eng Premier League
Ronald Araújo,uy URU,DF,26,4,4,231,1,1,1,1,0,0.4,0.3,Barcelona,es La Liga
Cameron Archer,eng ENG,FW,23,24,11,1132,2,0,2,0,0,4.8,0.3,Southampton,eng Premier League
Carlens Arcus,ht HAI,DF,28,20,18,1479,0,1,0,2,0,0.0,1.2,Angers,fr Ligue 1
Alphonse Areola,fr FRA,GK,32,16,15,1360,0,0,0,0,0,0.0,0.0,West Ham,eng Premier League
Adu Ares,es ESP,FW,23,1,0,19,0,0,0,0,0,0.0,0.0,Athletic Club,es La Liga
Jesús Areso,es ESP,DF,25,24,23,2031,0,2,0,5,0,0.1,1.8,Osasuna,es La Liga
David Argüelles,es ESP,MF,23,1,0,7,0,0,0,0,0,0.0,0.0,Getafe,es La Liga
Joe Aribo,ng NGA,"MF,DF",28,26,18,1729,3,0,3,1,0,2.6,1.5,Southampton,eng Premier League
Adam Armstrong,eng ENG,"FW,MF",28,20,15,1248,2,2,2,4,0,3.3,1.2,Southampton,eng Premier League
Harrison Armstrong,eng ENG,MF,18,3,0,48,0,0,0,1,0,0.4,0.1,Everton,eng Premier League
José Arnaiz,es ESP,"FW,MF",29,8,0,54,0,0,0,0,0,0.2,0.1,Osasuna,es La Liga
Hákon Arnar Haraldsson,is ISL,"MF,FW",21,16,12,1062,4,2,4,2,0,2.6,1.2,Lille,fr Ligue 1
Marko Arnautović,at AUT,FW,35,9,0,170,1,1,1,1,0,1.4,0.4,Inter,it Serie A
Maximilian Arnold,de GER,MF,30,20,20,1746,2,4,2,7,0,0.7,2.0,Wolfsburg,de Bundesliga
Jann-Fiete Arp,de GER,"FW,MF",25,18,3,615,2,0,1,5,1,2.9,0.9,Holstein Kiel,de Bundesliga
Sergio Arribas,es ESP,DF,22,1,1,90,0,0,0,0,0,0.0,0.0,Betis,es La Liga
Kepa Arrizabalaga,es ESP,GK,30,20,20,1800,0,0,0,3,0,0.1,0.0,Bournemouth,eng Premier League
Arthur,br BRA,"DF,FW",21,11,5,431,0,1,0,0,0,0.0,0.4,Leverkusen,de Bundesliga
Takuma Asano,jp JPN,"FW,MF",30,15,8,687,1,0,1,0,0,1.5,0.1,Mallorca,es La Liga
Raúl Asencio,es ESP,DF,22,13,8,859,0,1,0,0,0,0.0,0.4,Real Madrid,es La Liga
Marco Asensio,es ESP,"MF,FW",29,4,2,207,2,0,2,0,0,1.4,0.2,Aston Villa,eng Premier League
Kristjan Asllani,al ALB,MF,22,15,6,603,0,2,0,3,0,0.8,1.6,Inter,it Serie A
Iago Aspas,es ESP,"FW,MF",37,19,13,1268,8,3,4,4,1,7.3,2.8,Celta Vigo,es La Liga
Yaser Asprilla,co COL,"FW,MF",21,17,9,873,2,0,2,2,0,1.3,1.3,Girona,es La Liga
Lorenz Assignon,tg TOG,"DF,MF",24,22,18,1551,2,4,2,6,0,0.7,3.0,Rennes,fr Ligue 1
Dehmaine Assoumani,fr FRA,"MF,FW",19,9,0,81,0,0,0,0,0,0.1,0.9,Nantes,fr Ligue 1
Valentin Atangana Edoa,fr FRA,MF,19,24,23,1958,0,0,0,6,0,0.8,0.4,Reims,fr Ligue 1
Arthur Atta,fr FRA,"MF,FW",22,17,3,491,0,1,0,2,0,0.6,0.6,Udinese,it Serie A
Noah Atubolu,de GER,GK,22,21,21,1890,0,0,0,2,0,0.0,0.0,Freiburg,de Bundesliga
Emil Audero,it ITA,GK,28,8,8,720,0,0,0,0,0,0.0,0.0,Como,it Serie A
Tommaso Augello,it ITA,"DF,FW",30,28,21,1907,0,4,0,2,0,0.2,3.7,Cagliari,it Serie A
Carlos Augusto,br BRA,"DF,FW",26,18,7,903,2,1,2,0,0,1.1,0.8,Inter,it Serie A
Yann Aurel Bisseck,de GER,DF,24,16,11,1024,1,1,1,3,0,1.5,0.5,Inter,it Serie A
Brandon Austin,eng ENG,GK,26,1,1,90,0,0,0,0,0,0.0,0.0,Tottenham,eng Premier League
Ezequiel Ávila,ar ARG,FW,31,18,6,632,2,0,2,5,1,1.5,1.0,Betis,es La Liga
Taiwo Awoniyi,ng NGA,FW,27,20,2,263,1,0,1,0,0,2.0,0.1,Nott'ham Forest,eng Premier League
Yasin Ayari,se SWE,MF,21,23,15,1359,0,0,0,3,0,1.4,2.0,Brighton,eng Premier League
Florian Ayé,fr FRA,FW,28,17,4,403,0,0,0,0,0,0.4,0.1,Auxerre,fr Ligue 1
André Ayew,gh GHA,FW,35,17,10,973,4,1,4,2,0,2.9,0.0,Le Havre,fr Ligue 1
Jordan Ayew,gh GHA,"FW,MF",33,1,0,21,0,0,0,1,0,0.5,0.0,Crystal Palace,eng Premier League
Neil El Aynaoui,fr FRA,MF,23,15,8,817,3,0,1,2,0,2.2,1.0,Lens,fr Ligue 1
Ayman Azhil,ma MAR,MF,23,1,0,24,0,0,0,1,0,0.0,0.0,Dortmund,de Bundesliga
Adam Aznou,ma MAR,"DF,MF",18,3,2,168,0,0,0,1,0,0.1,0.0,Valladolid,es La Liga
César Azpilicueta,es ESP,DF,35,8,7,570,0,0,0,0,0,0.2,0.0,Atlético Madrid,es La Liga
Paulo Azzi,br BRA,DF,30,6,5,426,0,0,0,2,0,0.5,0.9,Cagliari,it Serie A
Oussama El Azzouzi,ma MAR,MF,23,1,0,8,0,0,0,0,0,0.0,0.0,Bologna,it Serie A
Papa Ba,es ESP,MF,20,1,0,48,0,0,0,0,0,0.0,0.0,Girona,es La Liga
Shavy Babicka,ga GAB,"MF,FW",24,24,9,971,4,2,4,1,0,3.0,1.5,Toulouse,fr Ligue 1
Jacopo Bacci,it ITA,MF,19,2,0,11,0,0,0,0,0,0.0,0.0,Empoli,it Serie A
Aliou Badara Baldé,gn GUI,"MF,FW",22,5,0,91,0,0,0,1,0,0.2,0.2,Bochum,de Bundesliga
